arrival_id,station_name,city,to_poi_id,to_poi_name,mode,line_name,transfer_note,duration_min,price,walk_min,note,src_confidence,verified,source_url,last_check_date
A032,杭州东,杭州,P030,苏堤,地铁,地铁1号线,龙翔桥站下车后步行或骑车至苏堤北端,35,4,15,直达,mid,0,,
A033,杭州东,杭州,P034,良渚古城遗址公园,地铁,地铁1号线转2号线,凤起路站换 2 号线至良渚站再打车,70,25,0,良渚站出来还要打车约 20 分钟,mid,0,,
A034,成都东,成都,P001,宽窄巷子,地铁,地铁2号线转4号线,中医大省医院站换 4 号线至宽窄巷子站,35,5,5,一次换乘；站名与景点同名,mid,0,,
A035,成都东,成都,P005,武侯祠与锦里,地铁,地铁2号线转3号线,春熙路或天府广场方向换 3 号线,40,5,15,一次换乘,mid,0,,
A036,成都东,成都,P012,都江堰景区,动车,成灌城际,成都东站或犀浦站乘城际至都江堰站,60,15,15,到站后换公交或打车约 15 分钟,mid,0,,
A037,西安北,西安,P016,回民街,地铁,地铁2号线,西安北站直接乘 2 号线至钟楼站,35,4,8,直达；钟楼站出来即回民街,mid,0,,
A038,西安北,西安,P019,西安城墙,地铁,地铁2号线,西安北站乘 2 号线至永宁门站,40,4,3,直达；永宁门即城墙南门,mid,0,,
A039,西安北,西安,P017,秦始皇帝陵博物院,地铁,地铁2号线转9号线,需换乘且末段要坐公交,110,10,10,兵马俑无地铁直达；也可从西安站坐游 5 路约 1 小时,mid,0,,
A040,西安北,西安,P018,陕西历史博物馆,地铁,地铁2号线,西安北站乘 2 号线至小寨站,45,4,12,直达,mid,0,,
A041,西安北,西安,P013,大唐不夜城,地铁,地铁2号线转3号线,小寨站换 3 号线至大雁塔站,50,5,10,一次换乘,mid,0,,
A042,西安,西安,P017,秦始皇帝陵博物院,公交,游5路或914路,西安站东广场直接乘车,70,8,5,从西安站走游 5 路比地铁方便,mid,0,,
A043,邯郸东,邯郸,,—,打车,—,邯郸市区无地铁；所有景点靠公交或打车,0,0,0,邯郸东站到市区约 20 分钟车程；广府古城约 40 分钟、娲皇宫约 2 小时,mid,0,,
A044,重庆北,重庆,P037,洪崖洞,地铁,地铁10号线转1号线,红旗河沟或小什字方向换乘,40,6,8,一次换乘,mid,0,,
A045,重庆北,重庆,P038,李子坝轻轨穿楼,地铁,地铁10号线转2号线,换 2 号线至李子坝站,45,6,1,一次换乘；观景台就在站旁,mid,0,,
A046,重庆西,重庆,P040,磁器口古镇,地铁,地铁环线转1号线,换 1 号线至磁器口站,40,6,5,一次换乘,mid,0,,
A047,成都东,成都,P090,成都大熊猫繁育研究基地,地铁,地铁2号线转3号线,成都东站乘 2 号线至春熙路换 3 号线至熊猫大道站,50,5,10,想开园就到的话建议头天住基地附近,mid,0,,
A048,厦门北,厦门,P099,中山路步行街,地铁,地铁1号线,厦门北站直接乘 1 号线至中山路站，跨海段可以看海,50,7,2,厦门北站在集美区，进岛要 50 分钟 —— 这是厦门最容易踩的坑,high,0,,
A049,厦门北,厦门,P091,鼓浪屿,地铁,地铁1号线转公交,1 号线至中山路站，再去厦鼓码头（东渡邮轮中心需再换车）,75,9,10,当天到当天上岛的话，船票务必提前买好,high,0,,
A050,厦门北,厦门,P100,集美学村,地铁,地铁1号线,厦门北站乘 1 号线两站至集美学村站,12,3,8,住北站附近的话，集美学村是唯一顺路的景点,high,0,,
A051,厦门,厦门,P099,中山路步行街,地铁,地铁1号线,厦门站（思明区）乘 1 号线两站至中山路站,12,3,2,**厦门站在市区，比厦门北站近得多** —— 买票时优先看厦门站,high,0,,
A052,厦门,厦门,P094,沙坡尾与艺术西区,地铁,地铁1号线,厦门站乘 1 号线至中山路站再步行,22,3,12,,high,0,,
A053,厦门,厦门,P092,厦门大学,公交,1路或47路,厦门站直接坐公交到厦大一带,35,2,5,记得先约厦大参观名额,mid,0,,
A054,高崎机场,厦门,P099,中山路步行街,地铁,地铁1号线,机场到地铁站需摆渡或打车，再乘 1 号线至中山路,45,10,2,机场离岛内很近，打车约 25 分钟更省事,mid,0,,
A055,高崎机场,厦门,P091,鼓浪屿,打车,—,打车到厦鼓码头（东渡邮轮中心）再坐船,35,60,10,带行李的话打车比地铁换乘省力得多,mid,0,,
A056,邯郸东,邯郸,P110,武灵丛台,打车,—,邯郸东站（高铁站）打车进市区,20,30,0,邯郸全市没有地铁，所有景点靠公交或打车,high,0,,
A057,邯郸东,邯郸,P107,广府古城,打车,—,从邯郸东站直接打车或包车前往永年,45,90,0,建议一次包车把广府古城走完再回市区,mid,0,,
A058,邯郸,邯郸,P110,武灵丛台,公交,市区公交,邯郸站（普速站）在市区，离丛台公园很近,15,2,5,普速车到的是邯郸站，反而比高铁站更靠市区,high,0,,
A059,长沙南,长沙,P122,五一广场与IFS,地铁,地铁2号线,长沙南站直接乘 2 号线至五一广场站,25,4,2,长沙南站到市中心一趟地铁直达，很省事,high,0,,
A060,长沙南,长沙,P117,橘子洲头,地铁,地铁2号线,长沙南站乘 2 号线至橘子洲站,35,5,5,直达,high,0,,
A061,长沙南,长沙,P120,湖南博物院,地铁,地铁2号线转1号线,五一广场站换 1 号线至开福寺站,45,5,15,记得先预约,mid,0,,
A062,张家界西,张家界,P127,袁家界,大巴,景区专线或打车,张家界西站（高铁）到武陵源区约 40 分钟，再进景区,90,40,0,高铁站离核心景区有距离；住景区门口才能赶早班索道,mid,0,,
A063,凤凰古城,湘西,P132,沱江吊脚楼群,打车,—,凤凰古城站（高铁）到古城约 30 分钟车程,30,35,5,高铁站不在古城边；行李多建议直接打车到客栈附近,mid,0,,
