transit_id,poi_id,city,mode,line_name,station_name,walk_min,taxi_min,taxi_price,note,src_confidence,verified,source_url,last_check_date
T042,P048,上海,地铁,地铁10号线与11号线,上海图书馆,8,,,从上海图书馆站往武康大楼方向,mid,0,,
T043,P049,上海,地铁,地铁10号线与11号线,交通大学,12,,,,mid,0,,
T044,P050,上海,地铁,地铁11号线,云锦路,8,,,,mid,0,,
T045,P051,上海,地铁,地铁4号线,杨树浦路,12,,,,mid,0,,
T046,P052,上海,地铁,地铁6号线,民生路,15,,,,mid,0,,
T047,P053,上海,地铁,地铁10号线与13号线,新天地,5,,,,mid,0,,
T048,P054,上海,地铁,地铁9号线,打浦桥,5,,,,mid,0,,
T049,P055,上海,打车,—,—,,120,260,需过长江隧桥；强烈建议自驾,mid,0,,
T050,P056,苏州,地铁,地铁6号线,北园路或相门,12,,,,mid,0,,
T051,P057,苏州,地铁,地铁2号线,山塘街,15,,,,mid,0,,
T052,P058,苏州,地铁,地铁6号线,相门,10,,,,mid,0,,
T053,P059,苏州,地铁,地铁6号线,北园路,12,,,与拙政园相邻可同日,mid,0,,
T054,P060,苏州,地铁,地铁2号线,山塘街,5,,,站名与景点同名,mid,0,,
T055,P061,苏州,公交,游1路或32路,虎丘,5,,,无地铁直达,mid,0,,
T056,P062,苏州,地铁,地铁6号线,相门,12,,,,mid,0,,
T057,P064,南京,地铁,地铁2号线,苜蓿园,12,,,也可坐景区观光车,mid,0,,
T058,P065,南京,地铁,地铁2号线,下马坊,20,,,下车后换景区观光车更省力,mid,0,,
T059,P066,南京,地铁,地铁2号线,明故宫,8,,,,mid,0,,
T060,P067,南京,地铁,地铁2号线,云锦路,5,,,,mid,0,,
T061,P068,南京,地铁,地铁3号线,夫子庙,5,,,站名与景点同名,mid,0,,
T062,P069,南京,地铁,地铁3号线,武定门,10,,,,mid,0,,
T063,P070,南京,地铁,地铁3号线与4号线,鸡鸣寺,8,,,与鸡鸣寺同一入口区域,mid,0,,
T064,P071,南京,地铁,地铁3号线与4号线,鸡鸣寺,5,,,站名与景点同名,mid,0,,
T065,P072,南京,地铁,地铁2号线,上海路,10,,,,mid,0,,
T066,P073,南京,公交,南栖线或游4路,栖霞山,5,,,无地铁；市区过去约1小时,mid,0,,
T067,P074,南京,地铁,地铁11号线,浦洲路,15,,,过江后换乘,mid,0,,
T068,P075,南京,地铁,地铁2号线与3号线,大行宫,6,,,,mid,0,,
T069,P076,北京,地铁,地铁1号线,天安门东,10,,,午门入场；不要走神武门,mid,0,,
T070,P077,北京,地铁,地铁8号线,什刹海或南锣鼓巷,15,,,故宫神武门出来步行可达；可与故宫连着走,mid,0,,
T071,P078,北京,动车,市郊铁路S2线,八达岭,10,,,也可从德胜门坐877路；S2线需提前买票,mid,0,,
T072,P079,北京,地铁,地铁5号线,天坛东门,5,,,,mid,0,,
T073,P080,北京,地铁,地铁4号线,北宫门,5,,,北宫门进园离佛香阁近,mid,0,,
T074,P081,北京,地铁,地铁1号线,天安门东,8,,,需先过天安门广场安检,mid,0,,
T075,P082,北京,地铁,地铁2号线与5号线,雍和宫,3,,,站名与景点同名,mid,0,,
T076,P083,北京,地铁,地铁6号线与8号线,南锣鼓巷,3,,,站名与景点同名,mid,0,,
T077,P084,北京,地铁,地铁14号线,将台,15,,,,mid,0,,
T078,P085,北京,地铁,地铁8号线,天桥,12,,,在先农坛内,mid,0,,
T079,P086,北京,地铁,地铁2号线,朝阳门,12,,,在禄米仓胡同里不好找,mid,0,,
T080,P087,北京,地铁,地铁2号线与4号线,阜成门,8,,,,mid,0,,
T081,P088,北京,地铁,地铁4号线,国家图书馆,15,,,在动物园后身白石桥附近,mid,0,,
T082,P089,北京,打车,—,—,,100,300,无轨道交通；包车或旅游巴士,mid,0,,
T083,P090,成都,地铁,地铁3号线,熊猫大道,10,,,3 号线熊猫大道站下车后需换公交或步行,mid,0,,
T084,P091,厦门,轮渡,厦鼓轮渡,厦鼓码头（东渡邮轮中心）,0,,,白天从邮轮中心码头走，夜间部分班次在轮渡码头；船票要提前买,high,0,,
T085,P092,厦门,公交,1路或magic线,厦大西村,5,,,地铁到中山路再换公交；也可从南普陀步行过去,mid,0,,
T086,P093,厦门,公交,29路或快线,曾厝垵,5,,,无地铁直达,mid,0,,
T087,P094,厦门,地铁,地铁1号线,中山路,12,,,,mid,0,,
T088,P095,厦门,公交,29路或环岛路专线,黄厝,8,,,无地铁；建议租自行车沿环岛路骑,mid,0,,
T089,P096,厦门,地铁,地铁1号线,中山路,8,,,,mid,0,,
T090,P097,厦门,公交,1路或21路,厦大,5,,,与厦大同一区域,mid,0,,
T091,P098,厦门,公交,2路或29路,胡里山,5,,,,mid,0,,
T092,P099,厦门,地铁,地铁1号线,中山路,2,,,站名与景点同名,high,0,,
T093,P100,厦门,地铁,地铁1号线,集美学村,8,,,地铁 1 号线跨海段本身就是风景,high,0,,
T094,P101,厦门,地铁,地铁1号线,将军祠,12,,,,mid,0,,
T095,P102,厦门,公交,1路或21路,厦大西村,6,,,在厦大西门外,mid,0,,
T096,P103,厦门,地铁,地铁1号线,将军祠,10,,,,mid,0,,
T097,P104,厦门,地铁,地铁1号线,中山路,15,,,出站后要爬十几分钟台阶,mid,0,,
T098,P105,厦门,打车,—,—,,25,40,地铁 2 号线五通站再打车；建议直接打车,mid,0,,
T099,P106,厦门,地铁,地铁1号线,中山路,18,,,也可从沙坡尾沿海边走过去,mid,0,,
T100,P107,邯郸,打车,—,—,,40,80,邯郸全市无地铁；自驾或包车最现实，也有旅游专线但班次少,mid,0,,
T101,P108,邯郸,打车,—,—,,120,260,在涉县约 2 小时车程；建议与一二九师旧址同日包车,mid,0,,
T102,P109,邯郸,打车,—,—,,50,100,在峰峰矿区；无直达公交建议自驾,mid,0,,
T103,P110,邯郸,公交,市区多路公交,丛台公园,3,,,在市中心，公交或步行可达,high,0,,
T104,P111,邯郸,公交,市区多路公交,博物馆,5,,,,high,0,,
T105,P112,邯郸,打车,—,—,,60,130,在临漳县；公共交通不便,mid,0,,
T106,P113,邯郸,公交,市区公交,黄粱梦,8,,,在市区北郊,low,0,,
T107,P114,邯郸,公交,市区多路公交,城内中街,5,,,在老城区，与丛台公园可连着走,mid,0,,
T108,P115,邯郸,打车,—,—,,90,200,在武安山区；必须自驾,low,0,,
T109,P116,邯郸,打车,—,—,,115,250,在涉县；与娲皇宫同日安排省一趟车程,mid,0,,
T110,P117,长沙,地铁,地铁2号线,橘子洲,5,,,站名与景点同名；洲很长建议再坐观光车,high,0,,
T111,P118,长沙,地铁,地铁2号线,溁湾镇,15,,,也可坐 4 号线湖南大学站,high,0,,
T112,P119,长沙,地铁,地铁4号线,湖南大学,12,,,,high,0,,
T113,P120,长沙,地铁,地铁1号线,开福寺,15,,,出站后仍需步行或换公交,mid,0,,
T114,P121,长沙,地铁,地铁1号线与2号线,五一广场,6,,,,high,0,,
T115,P122,长沙,地铁,地铁1号线与2号线,五一广场,2,,,站名与景点同名,high,0,,
T116,P123,长沙,地铁,地铁1号线,湘江中路,8,,,,mid,0,,
T117,P124,长沙,地铁,地铁1号线,南门口,12,,,,mid,0,,
T118,P125,长沙,地铁,地铁3号线,洋湖湿地公园,15,,,在洋湖片区，离市中心较远,mid,0,,
T119,P126,长沙,地铁,地铁1号线,开福寺,8,,,站名与景点同名,high,0,,
T120,P127,张家界,景区交通,百龙天梯或环保车,天子山门票站,,,,**百龙天梯排队常超 1 小时**，赶第一班或改走金鞭溪上山,high,0,,
T121,P128,张家界,景区交通,天子山索道或环保车,天子山门票站,,,,索道与天梯分开排队；建议与袁家界分两天,high,0,,
T122,P129,张家界,景区交通,环保车,森林公园门票站,10,,,不用索道，进门就能走,high,0,,
T123,P130,张家界,打车,—,—,,20,30,在市区（永定区）附近，与武陵源是两个方向,high,0,,
T124,P131,张家界,景区交通,十里画廊小火车,十里画廊入口,5,,,小火车另收费；也可步行,mid,0,,
T125,P132,湘西,步行,—,古城内,0,,,古城内全部步行可达,high,0,,
T126,P133,湘西,步行,—,古城内,0,,,,high,0,,
T127,P134,湘西,步行,—,古城内,5,,,墓地在听涛山需爬一段,mid,0,,
T128,P135,湘西,步行,—,古城南门,10,,,从南门上山约 30 分钟,mid,0,,
