rule_id,poi_name,city,province,category,need_booking,platform_name,platform_type,platform_url,advance_days,release_time,release_mode,time_slot,daily_quota,difficulty,sellout_speed,need_id_card,need_companion_id,free_or_paid,ticket_price,backup_plan,backup_poi,peak_note,src_confidence,verified,source_url,last_check_date,note
BK011,秦始皇帝陵博物院,西安,陕西,古迹,1,秦始皇帝陵博物院,官方小程序,,-1,-1,rolling,1,,3,hours,1,0,paid,120,可搭配丽山园,汉阳陵博物馆,国庆人流量极大,mid,0,,,提前天数待核实
BK012,陕西历史博物馆,西安,陕西,博物馆,1,陕历博公众号,官方公众号,,-1,-1,fixed_time,1,,4,minutes,1,1,free,0,大唐遗宝展需另约,西安博物院,假期基本秒空,mid,0,,,放票时刻待核实
BK013,三星堆博物馆,广汉,四川,博物馆,1,三星堆博物馆,官方小程序,,-1,-1,rolling,1,,4,minutes,1,0,paid,-1,,金沙遗址博物馆,新馆开放后长期紧张,mid,0,,,提前天数待核实
BK014,成都大熊猫繁育研究基地,成都,四川,自然景区,1,成都大熊猫繁育研究基地,官方小程序,,-1,-1,fixed_time,1,,5,seckill,1,1,paid,55,都江堰熊猫谷或碧峰峡人少得多,都江堰熊猫谷,全年热门假期秒空,mid,0,,,放票规则待核实
BK015,九寨沟,阿坝,四川,自然景区,1,九寨沟智慧旅游,官方小程序,,-1,-1,fixed_time,0,,4,minutes,1,1,paid,-1,,黄龙景区,有每日限额且旺季售罄快,mid,0,,,每日限额与放票时刻待核实
BK016,稻城亚丁,甘孜,四川,自然景区,1,稻城亚丁景区,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,0,paid,-1,高海拔需适应行程至少4天,四姑娘山双桥沟,冬季部分区域受雪情影响,mid,0,,,提前天数待核实
BK017,布达拉宫,拉萨,西藏,古迹,1,布达拉宫官方售票,官方小程序,,-1,-1,fixed_time,1,,5,seckill,1,1,paid,-1,旺季可走旅行社配额,大昭寺,旺季配额制极难约,mid,0,,,旺淡季规则不同必须分别核实
BK018,上海博物馆东馆,上海,上海,博物馆,1,上海博物馆,官方小程序,,-1,-1,rolling,1,,4,minutes,1,1,free,0,改约人民广场馆,上海博物馆人民广场馆,新馆开放后长期紧张,mid,0,,,提前天数待核实
BK019,上海迪士尼度假区,上海,上海,主题公园,1,上海迪士尼度假区,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,1,paid,-1,选平日日期票便宜很多,,日期票分级定价节假日为最高价档,mid,0,,,不是抢票制但热门日会售罄
BK020,南京博物院,南京,江苏,博物馆,1,南京博物院,官方小程序,,-1,-1,rolling,1,,3,hours,1,1,free,0,,六朝博物馆,,mid,0,,,提前天数待核实
BK021,苏州博物馆本馆,苏州,江苏,博物馆,1,苏州博物馆,官方小程序,,-1,-1,fixed_time,1,,4,minutes,1,1,free,0,苏博西馆好约得多,苏州博物馆西馆,假期本馆基本无票,mid,0,,,放票时刻待核实
BK022,灵隐寺,杭州,浙江,宗教场所,1,灵隐寺,官方公众号,,-1,-1,rolling,0,,3,hours,1,0,paid,-1,需飞来峰门票加寺院香花券两道,法喜寺,初一十五与假期人流暴增,mid,0,,,两道票规则待核实
BK023,西湖景区,杭州,浙江,自然景区,0,,,,,,,0,,1,relaxed,0,0,free,0,,,开放式景区无需预约但断桥苏堤假期严重超载,mid,0,,,作为不需预约的对照样本
BK024,湖北省博物馆,武汉,湖北,博物馆,1,湖北省博物馆,官方小程序,,-1,-1,rolling,1,,3,hours,1,1,free,0,,盘龙城遗址博物院,越王勾践剑展厅假期排队久,mid,0,,,提前天数待核实
BK025,黄鹤楼,武汉,湖北,古迹,1,黄鹤楼公园,官方小程序,,-1,-1,rolling,1,,2,relaxed,1,0,paid,-1,,武汉长江大桥,,mid,0,,,提前天数待核实
BK026,武汉大学,武汉,湖北,高校,1,武汉大学校园开放预约,官方公众号,,-1,-1,fixed_time,1,,5,seckill,1,1,free,0,东湖樱花园可替代赏樱,东湖樱花园,樱花季（约3月中下旬）预约极难非花期宽松,mid,0,,,樱花季与平日是两套规则
BK027,湖南博物院,长沙,湖南,博物馆,1,湖南博物院,官方小程序,,-1,-1,rolling,1,,3,hours,1,1,free,0,,长沙简牍博物馆,辛追墓展区假期排队久,mid,0,,,提前天数待核实
BK028,河南博物院,郑州,河南,博物馆,1,河南博物院,官方小程序,,-1,-1,rolling,1,,3,hours,1,1,free,0,,郑州商都遗址博物院,,mid,0,,,提前天数待核实
BK029,龙门石窟,洛阳,河南,古迹,1,龙门石窟,官方小程序,,-1,-1,rolling,1,,2,relaxed,1,0,paid,-1,,洛阳博物馆,,mid,0,,,提前天数待核实
BK030,云冈石窟,大同,山西,古迹,1,云冈石窟,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,0,paid,-1,,大同华严寺,,mid,0,,,提前天数待核实
BK031,平遥古城,晋中,山西,古迹,1,平遥古城,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,0,paid,-1,进城免费通票管景点,王家大院,,low,0,,,门票结构待核实
BK032,泰山,泰安,山东,自然景区,1,泰山景区,官方小程序,,-1,-1,rolling,0,,3,hours,1,1,paid,-1,看日出需夜爬或住山顶山顶住宿假期极紧,,国庆日出人流为全年峰值,mid,0,,,提前天数待核实
BK033,黄山,黄山,安徽,自然景区,1,黄山旅游,官方小程序,,-1,-1,rolling,0,,3,hours,1,1,paid,-1,山顶酒店必须提前订是真正的瓶颈,,索道假期排队常超2小时,mid,0,,,提前天数待核实
BK034,华山,渭南,陕西,自然景区,1,华山旅游,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,0,paid,-1,西峰索道排队最久,,,low,0,,,提前天数待核实
BK035,鼓浪屿,厦门,福建,自然景区,1,厦门轮渡有限公司,官网,,-1,-1,rolling,1,,4,minutes,1,1,paid,-1,船票是真正的瓶颈不是门票,厦门环岛路,假期船票比岛上任何门票都难买,mid,0,,,船班与放票规则待核实
BK036,厦门大学,厦门,福建,高校,1,U厦大公众号,官方公众号,,-1,-1,fixed_time,1,,4,minutes,1,1,free,0,,南普陀寺,限流严格且工作日与假期规则不同,mid,0,,,预约规则待核实
BK037,张家界武陵源核心景区,张家界,湖南,自然景区,1,张家界旅游,官方小程序,,-1,-1,rolling,0,,3,hours,1,1,paid,-1,天子山索道与百龙天梯需单独约且是瓶颈,天门山,核心景区内部交通比门票更难,mid,0,,,分项预约规则待核实
BK038,青海湖二郎剑景区,海南州,青海,自然景区,1,青海湖景区,官方小程序,,-1,-1,rolling,0,,1,relaxed,1,0,paid,-1,,茶卡盐湖,冬季部分区域封闭,low,0,,,提前天数待核实
BK039,喀纳斯景区,阿勒泰,新疆,自然景区,1,喀纳斯景区,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,0,paid,-1,10月中旬起降雪封路国庆是最后窗口且极挤,可可托海,10月中下旬起陆续封山,mid,0,,,封山日期每年不同必须当年核实
BK040,北京环球度假区,北京,北京,主题公园,1,北京环球度假区,官方小程序,,-1,-1,rolling,0,,2,relaxed,1,1,paid,-1,选平日日期票便宜很多,,日期票分级定价节假日为最高价档,mid,0,,,不是抢票制但热门日会售罄
BK041,都江堰景区,成都,四川,古迹,1,都江堰景区,官方小程序,,-1,-1,rolling,0,,1,relaxed,1,0,paid,-1,,青城山,,low,0,,,提前天数待核实
BK042,大唐不夜城,西安,陕西,古迹,0,,,,,,,0,,1,relaxed,0,0,free,0,,,开放式街区无需预约但假期夜间严重超载,mid,0,,,作为不需预约的对照样本
