stay_id,dest_id,city,area_name,area_type,lat,lng,why_here,metro_access,walk_to,price_eco_low,price_eco_high,price_mid_low,price_mid_high,price_high_low,price_high_high,peak_multiplier,example_hotels,avoid_tip,src_confidence,verified,source_url,last_check_date,note
S011,D043,北京,西单与金融街,商业中心,39.913,116.37,地铁 1/2/4 号线，比前门便宜且同样方便,地铁 1/4 号线西单站,故宫西华门 25min、西单 0min,300,450,500,850,1100,2600,1.9,西单一带连锁；金融街威斯汀,周末西单商圈人极多；怕挤选复兴门一侧,mid,0,,,
S012,D043,北京,北京南站,交通枢纽,39.865,116.378,只为赶高铁；地铁 4/14 号线,地铁 4/14 号线北京南站,天坛 20min，其余都远,230,350,380,600,700,1500,1.6,南站周边快捷连锁,去故宫要 35 分钟；只为赶早班车才住,mid,0,,,
S013,D003,杭州,湖滨与龙翔桥,核心景区,30.254,120.165,出门就是西湖，地铁 1 号线龙翔桥站,地铁 1 号线龙翔桥站,西湖断桥 10min、湖滨步行街 0min,350,550,600,1100,1500,4000,2.3,杭州香格里拉；湖滨一带精品酒店,国庆这一带价格常翻两倍以上还满房；这是全库溢价最狠的片区,high,0,,,
S014,D003,杭州,武林广场,商业中心,30.278,120.166,离西湖两站地铁，价格比湖滨低不少,地铁 1/3 号线武林广场站,西湖 25min 步行或 2 站地铁,250,380,420,700,900,2200,1.9,武林广场一带连锁；杭州国大雷迪森,不如湖滨能走到西湖，但性价比高得多,high,0,,,
S015,D003,杭州,杭州东站,交通枢纽,30.29,120.212,只为赶高铁；地铁 1/4 号线,地铁 1/4 号线火车东站,西湖 25min 地铁,200,320,350,550,700,1500,1.6,东站周边快捷连锁,去西湖 25 分钟；不算太差但没有住湖边的意义,mid,0,,,
S016,D001,成都,春熙路与太古里,商业中心,30.654,104.081,地铁 2/3 号线交汇，吃喝玩都在门口,地铁 2/3 号线春熙路站,太古里 0min、宽窄巷子 4 站地铁,250,400,420,750,1000,2500,1.9,成都博舍；太古里一带设计酒店,夜里商圈吵；要安静往红星路后街选,high,0,,,
S017,D001,成都,宽窄巷子与人民公园,核心景区,30.665,104.062,安静且有生活气，地铁 2/4 号线,地铁 4 号线宽窄巷子站,宽窄巷子 5min、人民公园 10min,220,350,380,650,900,2200,1.9,宽窄巷子一带客栈；成都钓鱼台精品酒店,巷子里的民宿隔音一般,mid,0,,,
S018,D001,成都,熊猫基地附近,核心景区,30.73,104.145,只为了开园就到熊猫基地；其他什么都不方便,地铁 3 号线熊猫大道站,熊猫基地 10min，其余全远,180,300,300,500,600,1300,1.8,熊猫基地周边快捷与主题酒店,除了熊猫基地哪都不方便；只适合住一晚,mid,0,,,
S019,D002,西安,钟楼与回民街,核心景区,34.26,108.945,城墙内核心，地铁 2 号线，去哪都近,地铁 2 号线钟楼站,回民街 5min、城墙南门 15min、鼓楼 5min,200,320,350,600,800,2000,2.0,西安索菲特人民大厦；钟楼一带连锁与客栈,回民街夜里吵到很晚；要安静往建国路一侧选,high,0,,,
S020,D002,西安,大雁塔与大唐不夜城,核心景区,34.22,108.964,晚上出门就是不夜城灯光；地铁 3/4 号线,地铁 3/4 号线大雁塔站,大雁塔 5min、不夜城 5min、陕历博 2 站,220,350,380,650,900,2200,2.0,西安威斯汀；曲江一带酒店,离城墙与回民街要坐地铁 20 分钟,high,0,,,
S021,D002,西安,西安北站,交通枢纽,34.375,108.95,只为赶高铁；地铁 2/4 号线,地铁 2/4 号线北客站,钟楼 35min 地铁,150,250,260,450,550,1100,1.5,北客站周边快捷连锁,进城要 35 分钟；只为赶早班车,mid,0,,,
S022,D004,重庆,解放碑与洪崖洞,核心景区,29.558,106.577,出门就是洪崖洞夜景；地铁 1/2/6 号线,地铁 1/2 号线较场口或 6 号线小什字站,洪崖洞 10min、解放碑 0min、长江索道 15min,220,350,380,650,900,2200,2.0,重庆JW万豪；解放碑一带江景酒店,"江景房溢价高；重庆立体地形导致""步行10分钟""常包含爬坡",high,0,,,
S023,D004,重庆,观音桥,商业中心,29.575,106.53,江北商圈，比解放碑便宜，地铁 3/9 号线,地铁 3/9 号线观音桥站,洪崖洞 20min 地铁,180,300,320,550,700,1600,1.8,观音桥一带连锁,看夜景要过江；不如解放碑方便,mid,0,,,
S024,D047,邯郸,邯郸火车站一带,交通枢纽,36.61,114.49,普速车站在这里；市区无地铁全靠公交打车,无地铁；公交与打车,丛台公园 10min 车程,100,180,200,350,400,800,1.4,邯郸迎宾馆；火车站周边连锁,邯郸全市没有地铁；景点靠打车，广府古城约 40 分钟车程,low,0,,,三线城市酒店价格与结构需实地核实
S025,D023,长沙,五一广场,商业中心,28.195,112.976,地铁 1/2 号线交汇，小吃夜市全在这一带,地铁 1/2 号线五一广场站,太平老街 5min、橘子洲 2 站,200,320,350,600,800,1900,1.8,长沙北辰洲际；五一广场一带连锁,夜市到凌晨都吵；对噪音敏感选湘江中路一侧,mid,0,,,
S026,D066,拉萨,大昭寺与八廓街,核心景区,29.653,91.131,老城核心，转经与市井都在门口,无地铁；步行或打车,大昭寺 3min、布达拉宫 20min 步行,180,300,350,650,900,2200,2.2,八廓街一带藏式客栈；拉萨瑞吉,**选有供氧或弥散供氧的房间**；老城客栈多无电梯，高原爬楼极累。头两晚不要住四层以上没电梯的,mid,0,,,高原住宿要看供氧与电梯，这比价格重要
S027,D057,厦门,中山路与轮渡,核心景区,24.452,118.079,去鼓浪屿的码头就在旁边，地铁 1 号线中山路站,地铁 1 号线中山路站,中山路 0min、厦鼓码头 10min、八市 10min,200,330,380,700,900,2200,2.0,中山路一带连锁与老楼民宿；厦门佰翔鼓浪屿,步行街夜里吵到很晚；要安静往鹭江道一侧,high,0,,,
S028,D057,厦门,沙坡尾与厦大,核心景区,24.44,118.082,厦大南普陀环岛路都在步行或两站内，气氛最好,地铁 1 号线中山路站步行或公交,沙坡尾 0min、厦大西门 15min、南普陀 20min,220,350,400,750,1000,2500,2.1,沙坡尾一带设计酒店与民宿,这一带民宿多在老楼里，没电梯的不少，要问清,high,0,,,
S029,D057,厦门,环岛路与黄厝,核心景区,24.421,118.133,出门就是海，适合躺平和看日出,无地铁；公交或打车,黄厝海滩 0min、曾厝垵 10min,250,400,450,850,1200,3500,2.2,环岛路一带海景酒店与民宿,离市区和火车站都远，进城 30-40 分钟；台风季海边风大,high,0,,,
S030,D057,厦门,鼓浪屿岛上,核心景区,24.447,118.067,住岛上才能看到清早和入夜没有游客的鼓浪屿,无车岛；全靠步行,岛上景点全部步行可达,300,500,600,1200,1500,4000,2.3,岛上老别墅改造的民宿,进出都要坐船且末班船很早；行李要自己拖着走石板路，带大箱子非常痛苦,high,0,,,
S031,D057,厦门,厦门北站,交通枢纽,24.61,118.06,只为赶高铁；在集美区,地铁 1 号线厦门北站,集美学村 2 站地铁，岛内景点全远,150,250,260,450,550,1100,1.5,北站周边快捷连锁,离岛内市区 40-50 分钟；**不要以为厦门北站在市区**,high,0,,,
S032,D023,长沙,岳麓山与大学城,商业中心,28.183,112.942,地铁 2/4 号线，离岳麓山书院近且比河东便宜,地铁 2 号线溁湾镇或 4 号线湖南大学站,岳麓书院 15min、爱晚亭 25min,150,260,280,480,600,1400,1.7,溁湾镇一带连锁；大学城周边快捷,过江去五一广场要 20 分钟地铁；夜宵不如河东方便,mid,0,,,
S033,D024,张家界,武陵源区（景区门口）,核心景区,29.345,110.548,住景区门口才能赶早班索道避开人流,无地铁；景区内部交通为主,森林公园门票站 10min,150,280,300,550,700,1800,2.0,武陵源区与森林公园门口的酒店民宿,**核心景区内部交通是真瓶颈**：百龙天梯与索道排队常超 1 小时，住门口能赶第一班。市区（永定区）离景区 40 分钟不建议住,mid,0,,,
S034,D025,湘西,凤凰古城内（沱江边）,核心景区,27.947,109.599,住城里才能看到清早和入夜没有游客的凤凰,无地铁；古城内步行,吊脚楼群 0min、虹桥 5min,120,250,260,500,600,1500,2.1,沱江沿岸的吊脚楼客栈,江边客栈夜里酒吧噪音大到凌晨，要安静选北门一侧或后街。行李要拖过石板路,mid,0,,,
